epoch,train_loss,val_loss,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_mu_mae,test_alpha_mae,test_gap_mae,test_loss
1,1.5479418277802266,1.5798609623311333,152.4931719303131,0.9050635321690366,3.7301788217579475,0.034102762557337817,0.8890448182783758,4.287148822535,0.03365825568792697,,,,
2,1.2433254339150903,1.1346314942053488,149.06779599189758,0.7796052956593179,2.6092483674854723,0.027420980043002068,0.6947753014523967,2.4217838915949037,0.02542490790540947,,,,
3,1.0720537055893875,0.9655760412844218,149.1903111934662,0.6840861202123767,2.162262060108466,0.0236517624082787,0.6349352829288141,1.8639177642852773,0.021039895593425614,,,,
4,0.9679126663598098,0.9405595635522734,149.48359441757202,0.6394705118487706,1.8808987076079497,0.020919565025922727,0.6585969765947691,1.6803886775186128,0.01971770219924864,,,,
5,0.8660204115190693,0.9217270353783529,149.60542368888855,0.6067886333673435,1.6859121358910334,0.017446110994310347,0.5677467579129725,2.825102620353855,0.016234825789000103,,,,
6,0.7804886816090988,0.8211134075353439,149.5765998363495,0.5664749269108109,1.5638975722089365,0.014788710215336396,0.6084385537835496,1.840423578358464,0.01412814081148451,,,,
7,0.7320363440302383,0.709405918450183,150.3639748096466,0.542034308516529,1.4695907969634354,0.01346770709559838,0.5548500700102023,1.3296556935327077,0.012452398510413947,,,,
8,0.678132464609901,0.6820406232056969,149.27884483337402,0.5124679190791676,1.3503699316229965,0.012155914041128382,0.5006978104174499,1.5885145673277747,0.011605616261607074,,,,
9,0.645671136527254,0.6756587931768159,149.59362626075745,0.48899496140002097,1.3275027750832487,0.011326321738807326,0.4960293140930479,1.637351296799801,0.011177222296577551,,,,
10,0.6099225692924296,0.5928253874748382,149.53588557243347,0.468510158288332,1.2072695624372798,0.010694433152387835,0.46425545870663415,1.164577173375775,0.01011700000587354,,,,
11,0.5805378238663879,0.5893611117859798,149.27793312072754,0.4489231587868968,1.16632141259325,0.009984680589809558,0.4463783479613131,1.2090920201116226,0.010350681846131892,,,,
12,0.5536175768691385,0.5591999157846118,149.32018947601318,0.4294097711140738,1.111725278859678,0.009476963168278865,0.4457125398532912,0.9740114293835468,0.0098845505657168,,,,
13,0.5332866406157245,0.5547545959234838,149.2837781906128,0.41771386550399675,1.0579599528206671,0.00904602661001296,0.41983155905648706,1.305329675640777,0.00891708426040771,,,,
14,0.5090184072959452,0.5680676182333747,149.22332668304443,0.39981253651559656,1.0169778347234582,0.008558311260145536,0.4311452966530814,1.287149977529838,0.009334224899670326,,,,
15,0.4909190601105199,0.49483522344372344,150.0658278465271,0.3862508488619191,0.9792492487469808,0.008238114863333904,0.39893172474405797,0.8747370641182222,0.008518528014483254,,,,
16,0.4737011974336356,0.4914135762850365,149.47088360786438,0.3723765978968348,0.9551101492715023,0.007909914121351804,0.4009135734682882,0.8985514593023171,0.008138060474548243,,,,
17,0.4579935949303,0.5067483114249945,149.65843749046326,0.36442764274074935,0.907408650361305,0.007568422888966433,0.3859774260569529,1.0894996314327239,0.00857110970564907,,,,
