epoch,train_loss,val_loss,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_mu_mae,test_alpha_mae,test_gap_mae,test_loss
1,1.5233062880386539,1.3857235028429846,17.373371124267578,0.9280314747124979,3.0141706426615458,0.0354950431055228,0.8820144938480738,2.426980137942709,0.03249644886113998,,,,
2,1.406767464722418,1.3620597163616461,13.565906763076782,0.8931477130120294,2.6394520556664203,0.03219195516840025,0.8793985564783036,2.488475488319963,0.030974288147882407,,,,
3,1.3829498999064211,1.3310612683241592,13.490037202835083,0.8844854076651164,2.6345365654553277,0.031213360470477614,0.8698952867606141,2.389686311103987,0.03009940801566175,,,,
4,1.3689229680107458,1.3274335343104369,13.451840877532959,0.8810941642684895,2.611913310058361,0.030673865877667426,0.8661020880469142,2.405762886676783,0.02995576208598311,,,,
5,1.3602245761818519,1.3207638738903564,14.070858001708984,0.8786393921781003,2.6079030785196027,0.030301867932348604,0.8650084636598265,2.4216638014618685,0.029546837620472086,,,,
6,1.3540274621594972,1.3237790033789867,13.12366533279419,0.8762041140908893,2.601947795295608,0.030077259293061657,0.867239231839846,2.4640104140040493,0.029420505245675715,,,,
7,1.3486814381577352,1.3189077412466568,13.253668308258057,0.8754707833405891,2.590723812624611,0.029864401580647244,0.8634758632124933,2.448439577133451,0.029365581989565286,,,,
8,1.3433926994410728,1.3066045026844615,13.129300832748413,0.8727502425633048,2.589441784537599,0.029676964896521916,0.8613275382236532,2.384659318560973,0.029082587161490123,,,,
9,1.339221007841024,1.3056783225118287,13.21056342124939,0.8715069286351608,2.595567565282857,0.029460617647013652,0.8606008127259644,2.4245618597837475,0.028857763607095223,,,,
10,1.337303481711898,1.3054451481660545,13.132271528244019,0.8721361959710912,2.5951089516496224,0.0293340324768404,0.8590711641668856,2.433780171084146,0.028854150455721823,,,,
11,1.3327092916575352,1.299825910455107,13.201287984848022,0.8709685561588735,2.5842665484013017,0.029176599248930842,0.860011993450627,2.376804985545516,0.028794721664252405,,,,
12,1.3303200551221486,1.2984559210607187,13.1547532081604,0.8699790572170197,2.5847995488298205,0.02907766269028849,0.8610238673964217,2.3986734482745002,0.028572665131615233,,,,
13,1.3289741148638288,1.3015836088821096,13.976224184036255,0.869575391354881,2.578988308084566,0.029046976747697992,0.8577405738807469,2.4581491415243004,0.02856670696801984,,,,
14,1.3267276989978427,1.2951272707933639,13.16077184677124,0.8692405448295734,2.5759185125809796,0.02895025034612993,0.8587813783787713,2.4071757699327856,0.02842727663280413,,,,
15,1.324479072691529,1.2903688360562287,13.21021032333374,0.8683803038702058,2.572846162928459,0.0288724698349103,0.8566152031346806,2.388809846020371,0.02833467346035467,,,,
16,1.3231558215933474,1.296223189080227,13.124760866165161,0.8684868546018529,2.567611875475388,0.028821643367726003,0.8577512330067807,2.4065643305480022,0.02852831824541095,,,,
17,1.3231120770147473,1.2929186763871474,13.131967306137085,0.8676234172545428,2.5750595500866815,0.028813218434777015,0.8569141082844853,2.4109709512718385,0.028353819396425332,,,,
18,1.321381193785201,1.2912891078526114,13.14901876449585,0.8674865836365655,2.571137321628439,0.028742097173528772,0.8572128922988174,2.391428021692115,0.028350778683757433,,,,
19,1.3203651175532476,1.289059591180346,13.280029773712158,0.8669328984746232,2.565358599104233,0.028734934701322594,0.8560819559488161,2.3974252879728466,0.028238423628504615,,,,
20,1.319612468630584,1.286752968680831,13.108099937438965,0.8673444181132861,2.5682590068834603,0.028663845657618682,0.8553897977616796,2.3765646606005504,0.028240476522116364,,,,
21,1.3178203544424096,1.2897312807272951,13.989692687988281,0.8663397862063064,2.5595831489240513,0.02864463064829068,0.8560694371873631,2.4027512482278124,0.028249342384854687,,,,
22,1.316381397307808,1.2853245745202115,13.068878173828125,0.8656776025704193,2.554236186328706,0.028615849349352452,0.855023687933895,2.3881473638889332,0.02811670802756515,,,,
23,1.3161321918970696,1.289544217344768,13.144833087921143,0.8656825969485088,2.5567810173984675,0.028589132190512265,0.8559133018022959,2.413641377645731,0.028190087961043928,,,,
24,1.3150417013652578,1.2844099264781166,13.162110328674316,0.865611425409737,2.5506502390209422,0.02856211772564411,0.8538381483052921,2.386214845906819,0.028118797298893203,,,,
25,1.3150715301874256,1.282312789438578,13.09020709991455,0.8654176190799007,2.557660677793695,0.028535667682023126,0.8542484910181705,2.357588653212657,0.02813136521819717,,,,
26,1.3138265990989089,1.2918869561984743,13.142938613891602,0.8645326560574134,2.554286127237922,0.02851581375190585,0.8584716945059792,2.441388668498229,0.02808784112976435,,,,
27,1.3131864360208203,1.2826832895550928,13.083627223968506,0.8652679195086315,2.54588467336003,0.028495838509723523,0.8550050614401055,2.368515730630953,0.02806966296644175,,,,
28,1.312420437448849,1.2786201573303293,13.084367275238037,0.8645276401873297,2.5477987959121537,0.028470726569618476,0.8537545760581976,2.3523665811877006,0.02797120044897704,,,,
29,1.3119195606384242,1.2795145999833875,14.160025358200073,0.8648855286337206,2.544477422560622,0.02844668578616461,0.8544115028326854,2.374514347321602,0.027885865060345995,,,,
30,1.3097483616649126,1.2802310419787646,13.168984174728394,0.8646252276029998,2.5358717625511122,0.02837915666488322,0.8536705486996862,2.3973454367215856,0.027837959086510416,,,,
31,1.3094038888657136,1.2772681692948658,13.145979166030884,0.8648028202079482,2.54142100796455,0.028325855114013195,0.8531294688185194,2.3636303608807205,0.027862648214891456,,,,
32,1.3082136574793533,1.2731625268856195,13.119515419006348,0.8641606660545441,2.5414609806709887,0.0282831109155942,0.8525076921612352,2.351163793800084,0.027720578142202322,,,,
33,1.3063613439482624,1.2706638774979166,13.092918157577515,0.8635705025800438,2.54164815982811,0.028201122396568898,0.8522746199002216,2.3539378574771694,0.027576927190406813,,,,
34,1.3043142440813176,1.2703221156812876,13.136940479278564,0.8633450418097424,2.533363566442431,0.028137584717490886,0.8533936642062901,2.368718075877017,0.02744337434446842,,,,
35,1.3040459988279236,1.270313924357693,13.03529977798462,0.8631502625364996,2.53853793457963,0.028103883175712274,0.8538471203134256,2.3518245577629764,0.02751112857508643,,,,
36,1.302979439357051,1.267372688699782,13.179917097091675,0.8637646491609221,2.5344172933627838,0.028043256138170897,0.8520574171254057,2.35286858742156,0.02740812066628166,,,,
37,1.3013362019118961,1.2697158913395332,13.999461889266968,0.863144203549641,2.5327785106479173,0.027983079970264176,0.8541807048083434,2.3873531167702664,0.027287919105284334,,,,
38,1.301455865897835,1.2728734836971711,13.190961599349976,0.8629665047160732,2.5363349244016455,0.027978322547007897,0.8536585951466259,2.393734791215636,0.02744952796861333,,,,
39,1.299481583447202,1.2672720883513695,13.186649799346924,0.8623300022358585,2.5282141216448704,0.02793289953369521,0.8516188851965611,2.3731360960355095,0.027316900732537015,,,,
40,1.2970669669603554,1.265260265583158,13.052350044250488,0.8615378195302366,2.526308637687115,0.02783762200828094,0.8517905178970361,2.359871730191478,0.027265866942201306,,,,
41,1.2982201282459465,1.2693691448803543,13.061306953430176,0.8620203693826212,2.539430858809924,0.027818149271884564,0.8521939467995684,2.372830076288152,0.027413570499928985,,,,
42,1.2982535165036329,1.2633366573287674,13.15961766242981,0.8619289098785418,2.5334948150647736,0.0278530580812039,0.8526852746621144,2.350280553101022,0.027175079856358277,,,,
43,1.2975718838066526,1.2644718566316075,13.253939628601074,0.8622214903711612,2.528676869040785,0.027828887657243083,0.8515429789135233,2.3766999694586284,0.02714690942692958,,,,
