epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_mu_mae,test_alpha_mae,test_gap_mae,test_loss
1,1.8288129568099976,1.7524567955649075,0.001,88.66252899169922,1.101524829864502,4.632811546325684,0.037989892065525055,1.0958645325831742,4.235929002106034,0.03596060772682923,,,,
2,1.5681160688400269,1.370464235601582,0.001,84.17666506767273,1.0184422731399536,2.9756500720977783,0.034887611865997314,0.8629740736777239,2.22673968569797,0.03334638492481526,,,,
3,1.4091675281524658,1.3392516574790414,0.001,83.06742596626282,0.8378959894180298,2.88576078414917,0.03309432417154312,0.7890158254481635,2.7948823524685444,0.03145530460972556,,,,
4,1.3239262104034424,1.198488850922412,0.001,82.76110696792603,0.8021697998046875,2.808006525039673,0.030064836144447327,0.7443399793725556,2.222855825664767,0.02815619200621069,,,,
5,1.2004094123840332,1.0589234684152382,0.001,82.71847343444824,0.7587411403656006,2.441077709197998,0.026646632701158524,0.6936160318898079,1.895119089667616,0.023918530052615048,,,,
6,1.1378246545791626,1.0629253780735313,0.001,82.33418774604797,0.708574116230011,2.481203317642212,0.0248032808303833,0.7057307878980963,1.9945080484625746,0.023202473075286466,,,,
7,1.0492273569107056,0.9777673498607432,0.001,82.82768511772156,0.670387864112854,2.205961227416992,0.02266702614724636,0.6491798012823451,2.0608073757096963,0.020210991148894058,,,,
8,0.9723144769668579,0.8656271753585626,0.001,82.40676188468933,0.6422967910766602,2.0041239261627197,0.020443065091967583,0.5985091943042784,1.6016844896489402,0.01814669879267298,,,,
9,0.9149142503738403,0.8452027455577671,0.001,82.61630249023438,0.6226257681846619,1.8919000625610352,0.01854393258690834,0.6069967181465906,1.4895674189628156,0.017270985057003443,,,,
10,0.8572642207145691,0.9027203220620104,0.001,82.61827659606934,0.5940943360328674,1.874948501586914,0.01647491566836834,0.640127058479542,1.7574870817051733,0.01790827475068891,,,,
11,0.8620125651359558,0.8040614880254734,0.001,82.53750014305115,0.5963739156723022,1.8955271244049072,0.01655176468193531,0.5615763224824287,1.7602964230843567,0.015286069711389003,,,,
12,0.7976171970367432,0.8725431914413564,0.001,82.49444890022278,0.5714097619056702,1.6946382522583008,0.014901998452842236,0.6118687578066083,2.1332049685886996,0.015381276679510818,,,,
13,0.7771754860877991,0.6969687395313093,0.001,82.54210066795349,0.5583431124687195,1.6934726238250732,0.01425106916576624,0.5317173148218733,1.264772311040584,0.012928576623992338,,,,
14,0.7455209493637085,0.6702684884499296,0.001,82.47607445716858,0.5449432730674744,1.6293210983276367,0.013307652436196804,0.517111892237676,1.1554106212311979,0.01252945613007708,,,,
15,0.7408847808837891,0.6642264313692401,0.001,82.1848316192627,0.528831422328949,1.6491332054138184,0.01353627908974886,0.49835714056757613,1.1571722032728768,0.012866623925495967,,,,
16,0.7036188840866089,0.7062876790536853,0.001,82.00974297523499,0.516791582107544,1.4705008268356323,0.012806820683181286,0.5000876526870067,1.5573960777660663,0.013124822740442453,,,,
17,0.6970694065093994,0.8269652820041892,0.001,82.23952770233154,0.508979082107544,1.541800856590271,0.01237060409039259,0.5961478309675602,2.4037152090636162,0.012074928565582801,,,,
18,0.6842250227928162,0.6613772209030669,0.001,82.34966087341309,0.4960727095603943,1.5847175121307373,0.011913209222257137,0.5058601476594503,1.2992956792754493,0.011724735294658258,,,,
19,0.6339449882507324,0.6047945340982505,0.001,82.47197675704956,0.47012925148010254,1.3174333572387695,0.011412406340241432,0.4641015093675952,1.0593019166538615,0.01131214786909593,,,,
20,0.6092461943626404,0.6267604860070958,0.001,82.56661319732666,0.4661499857902527,1.2011656761169434,0.010773190297186375,0.49781949594068864,1.1033377542149463,0.011083585265958588,,,,
