epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_mu_mae,test_alpha_mae,test_gap_mae,test_loss
1,1.7998523712158203,1.518460057039172,0.001,76.18059539794922,1.0115349292755127,4.837982177734375,0.03862365335226059,0.9077499523893504,3.0302407164125715,0.03588202591297121,,,,
2,1.502629280090332,1.3969012594307764,0.001,81.95804762840271,0.9038102030754089,3.0848801136016846,0.034875478595495224,0.8622957796363009,2.6527987057772995,0.03269828422646147,,,,
3,1.3648738861083984,1.257651056066143,0.001,82.25268197059631,0.8326325416564941,2.8786911964416504,0.030870677903294563,0.7993593714800629,2.4456171622344334,0.028316872478812857,,,,
4,1.219377875328064,1.1643831104388822,0.001,82.28613877296448,0.7719334959983826,2.4683477878570557,0.027080684900283813,0.7878685568565029,2.0508654013540184,0.02555291429605228,,,,
5,1.1085619926452637,1.0744274079743745,0.001,81.91828632354736,0.7092980742454529,2.2436249256134033,0.024348977953195572,0.6590819815923603,2.7053692423003257,0.02196839590966422,,,,
6,1.014745831489563,1.0631819209665503,0.001,81.83738589286804,0.6672289967536926,2.0151093006134033,0.02183070033788681,0.6469517780084709,2.515667098810332,0.02273691747426404,,,,
7,0.9145957231521606,0.8414906761621201,0.001,81.90878176689148,0.6199566125869751,1.848720669746399,0.018839498981833458,0.5929423395235153,1.80083424751242,0.01601563279719792,,,,
8,0.8512277007102966,0.9287801956550187,0.001,82.16966724395752,0.598180890083313,1.72164785861969,0.016761016100645065,0.5787895566957126,2.0190318051181095,0.02026365674414598,,,,
9,0.8169349431991577,0.776849338957957,0.001,81.71338438987732,0.5858478546142578,1.6529510021209717,0.0156557597219944,0.5828508514227375,1.509912018209347,0.014264017106472236,,,,
10,0.7662771344184875,0.7097783051050504,0.001,81.96108937263489,0.5612998008728027,1.5595160722732544,0.014212282374501228,0.5298884753324486,1.3729252919349477,0.013161469577066535,,,,
11,0.745110273361206,0.7701190640391193,0.001,82.06695103645325,0.5460830926895142,1.5595661401748657,0.013593134470283985,0.5500993426796679,1.8047392529679078,0.013602201167032282,,,,
12,0.7142894268035889,0.7404839583408822,0.001,82.00032138824463,0.5285218954086304,1.4444787502288818,0.01310199499130249,0.5442661577544655,1.4911171398270182,0.013746146194424599,,,,
13,0.6947066783905029,0.6642677888157231,0.001,81.96379113197327,0.5143036246299744,1.4514122009277344,0.012499785050749779,0.4845130181351695,1.5767435493300697,0.011268540382949463,,,,
14,0.6720393300056458,0.6813982653819121,0.001,81.97370600700378,0.5016390085220337,1.3861860036849976,0.01203214656561613,0.4925338679658594,1.6176944834673905,0.011719953027303888,,,,
15,0.6478274464607239,0.6221465749790505,0.001,82.97921586036682,0.48640552163124084,1.3533992767333984,0.011409738101065159,0.4823816694065832,1.1725904154048983,0.011041252120623861,,,,
16,0.6439447402954102,0.609018608535649,0.001,81.2997190952301,0.4814114570617676,1.3759406805038452,0.011263137683272362,0.4623336051303625,1.2214787973964263,0.010797239784262575,,,,
17,0.5991048812866211,0.5994257139372214,0.001,82.39539456367493,0.454934298992157,1.2517437934875488,0.010365599766373634,0.4659003762676985,1.272132264088918,0.009883460503560908,,,,
18,0.599373996257782,0.6283039485042361,0.001,82.33964252471924,0.44858187437057495,1.2977451086044312,0.010380353778600693,0.4841897981290539,1.3713383460530948,0.010320327714245205,,,,
19,0.5782231688499451,0.5594602979235243,0.001,82.06247735023499,0.44142112135887146,1.1981860399246216,0.009969059377908707,0.418547098387816,1.2226997318311135,0.009638005693353881,,,,
20,0.5581305027008057,0.5337947928853112,0.001,82.13992047309875,0.42655324935913086,1.1735360622406006,0.009520424529910088,0.42520916303200906,1.0272965523840827,0.008955950998040167,,,,
21,0.5590311884880066,0.5627222583643121,0.001,82.926349401474,0.42347830533981323,1.2086966037750244,0.00950560998171568,0.4292634445658063,1.2859882064943058,0.00911263675743996,,,,
22,0.5415230393409729,0.5117495268893724,0.001,82.19805192947388,0.41728097200393677,1.1366324424743652,0.009123055264353752,0.400861714051272,1.0059388553354143,0.008726639133846007,,,,
23,0.5304017066955566,0.521974234451939,0.001,82.13904142379761,0.4090639054775238,1.1241730451583862,0.008868372067809105,0.4121447100668238,1.0966550762634402,0.008428398682001403,,,,
24,0.505483865737915,0.529797647811703,0.001,82.1907856464386,0.39018404483795166,1.0780906677246094,0.008405776694417,0.4017442372576202,1.136936216612244,0.009036477010965806,,,,
25,0.5118804574012756,0.5378056794174003,0.001,82.36836099624634,0.3936927616596222,1.0806992053985596,0.00861927680671215,0.3973886362067002,1.257442747501452,0.009033524162884174,,,,
26,0.4989408552646637,0.5266466745458951,0.001,82.10612797737122,0.38350269198417664,1.0877615213394165,0.008237741887569427,0.3938077455802596,1.2509824838949968,0.008578544674420898,,,,
27,0.4969136714935303,0.48065073954927817,0.001,82.08280372619629,0.38471224904060364,1.0677297115325928,0.008182108402252197,0.37520336454154274,1.033064180114412,0.007801158484187351,,,,
28,0.4784145653247833,0.4951779748042656,0.001,82.17016935348511,0.36826300621032715,1.0398520231246948,0.007895172573626041,0.3927966726493016,1.0313425497623387,0.007975242157665461,,,,
29,0.47014325857162476,0.48348865366855365,0.001,82.27462267875671,0.3675389885902405,0.9852396249771118,0.007737583946436644,0.37820067302774757,1.09469955259799,0.007540568368006533,,,,
30,0.45425960421562195,0.4807428665429364,0.001,82.00743055343628,0.3517494201660156,0.9809445142745972,0.007453205995261669,0.37322853067190526,1.1117696026773674,0.007483485073661083,,,,
31,0.4636800289154053,0.46343236719096065,0.001,82.19320368766785,0.3626062572002411,0.9827317595481873,0.007571548689156771,0.3658194298136768,0.8820718758085164,0.007945735124991499,,,,
32,0.45895418524742126,0.4786428413807407,0.001,81.95666790008545,0.3589704930782318,0.9602935910224915,0.0075544738210737705,0.3763307175389069,1.0875245447825448,0.007376311940338302,,,,
33,0.44954103231430054,0.4620230598634962,0.001,82.0797073841095,0.3470776677131653,0.9764062762260437,0.007384400814771652,0.3733362543204521,0.8682547279646409,0.0076644048092910436,,,,
34,0.44148239493370056,0.46824189735734756,0.001,82.09004282951355,0.3439968228340149,0.9329879879951477,0.007267950568348169,0.3602788894780092,0.9688448481941797,0.007977881593931408,,,,
35,0.4306468665599823,0.4468030901171056,0.001,81.99528074264526,0.3359758257865906,0.9186235666275024,0.0070315152406692505,0.3563501994848875,0.8166988606207426,0.007696952672053941,,,,
36,0.43131235241889954,0.43946531591530985,0.001,81.78462481498718,0.33494892716407776,0.9288472533226013,0.007054354529827833,0.3462610346845668,0.9283363100788804,0.007097585789446252,,,,
37,0.41644087433815,0.42074734504245115,0.001,82.00126695632935,0.32556071877479553,0.874070405960083,0.006846740376204252,0.3349784900623136,0.8861093680656291,0.006683054086842118,,,,
38,0.4179074168205261,0.43491519467877854,0.001,81.99907612800598,0.3255447745323181,0.8900370597839355,0.006848427001386881,0.34540908353308225,0.9256707037307905,0.006890167619479666,,,,
39,0.4098920226097107,0.4182122499626057,0.001,81.66580438613892,0.3204714059829712,0.868363618850708,0.006697696167975664,0.33515068553007443,0.865555092799038,0.006639586133823463,,,,
40,0.4014022946357727,0.40671929139613566,0.001,81.86800456047058,0.31364914774894714,0.868952214717865,0.006472588982433081,0.3350450883909546,0.7619156079819108,0.0065270581723762735,,,,
41,0.39758074283599854,0.4051417772880092,0.001,81.83659291267395,0.3106398284435272,0.8479596972465515,0.006475538481026888,0.32564879502420124,0.8315012770679041,0.006431891569228581,,,,
42,0.3957880139350891,0.407937688778847,0.001,82.06069087982178,0.30753153562545776,0.8635154962539673,0.006411166861653328,0.32685890995282707,0.8165097243724538,0.006617772360217142,,,,
43,0.3888559639453888,0.39976938754671765,0.001,82.40698766708374,0.30589547753334045,0.8275378346443176,0.006267361808568239,0.3145406860261442,0.8928043099971998,0.006230412373276879,,,,
44,0.3835392892360687,0.4062226645498784,0.001,82.06401300430298,0.3000280559062958,0.8269003033638,0.006189286708831787,0.3152156604254664,0.9360776167369733,0.0063460324582187136,,,,
45,0.38199496269226074,0.3892090499810089,0.001,81.51192545890808,0.2986503839492798,0.8152328133583069,0.006212293636053801,0.3198926485521381,0.693487453152916,0.006450973868823557,,,,
46,0.3786630928516388,0.39445616062271716,0.001,81.70618176460266,0.2959546744823456,0.8109070658683777,0.00614743959158659,0.3177452726761245,0.7551617983852045,0.0065100312009025284,,,,
47,0.37506118416786194,0.38689330533296185,0.001,82.09579205513,0.2916133999824524,0.8144508600234985,0.006087902467697859,0.3149332435892748,0.6967800793963429,0.006486252832599821,,,,
48,0.37799814343452454,0.40471888595397826,0.001,81.7033121585846,0.2909950911998749,0.859640896320343,0.006046326365321875,0.327365893415804,0.7578350867589299,0.006715366144908209,,,,
49,0.36201584339141846,0.40083770323948403,0.001,81.82142329216003,0.28196853399276733,0.778595507144928,0.005895823240280151,0.3232491827451883,0.847113042000269,0.0062026248115378815,,,,
50,0.3545354902744293,0.3990798832919194,0.001,82.5238127708435,0.27726784348487854,0.7580061554908752,0.005755721125751734,0.3263604929251856,0.7343369622853617,0.0065576758559543315,,,,
51,0.35834670066833496,0.3937129240083796,0.001,81.74767184257507,0.2796550393104553,0.7659525275230408,0.0058401236310601234,0.3131633220031654,0.7899803994155892,0.00646062199073333,,,,
52,0.35351577401161194,0.36838284448674125,0.001,81.95300722122192,0.2746935486793518,0.7637054920196533,0.00576413981616497,0.30266197431388797,0.6924802511202216,0.005929005725403318,,,,
53,0.3484722971916199,0.3925792197001947,0.001,80.95033144950867,0.27266252040863037,0.7420109510421753,0.005667531862854958,0.3141372318566655,0.6893332227994654,0.006866935074754924,,,,
54,0.35084423422813416,0.4413225588731671,0.001,82.32219243049622,0.2744852602481842,0.7470739483833313,0.005707258824259043,0.3102208445268963,1.3448381274710546,0.006420321532478181,,,,
55,0.3521973490715027,0.3772406185971506,0.001,81.42039465904236,0.2712031900882721,0.8180938959121704,0.005545250605791807,0.30435275087454783,0.7572757737148241,0.006032933653973879,,,,
56,0.34204167127609253,0.37722464171879827,0.001,81.54791522026062,0.2683253884315491,0.7257003784179688,0.0055508664809167385,0.30593957304961883,0.7297684499940497,0.006112338457044701,,,,
57,0.3356384038925171,0.37849140398657827,0.001,81.59112429618835,0.2639503479003906,0.7098998427391052,0.005434549413621426,0.2968419057667364,0.8686430685999316,0.005816457821943111,,,,
58,0.33772528171539307,0.36758497134479995,0.001,82.36799788475037,0.26422032713890076,0.720058262348175,0.005489283706992865,0.2971296749849801,0.6997247259202677,0.0060492159407077375,,,,
59,0.32812097668647766,0.38661684501251736,0.001,81.42283582687378,0.2551894783973694,0.7080029845237732,0.005345980636775494,0.30433288025370225,0.6689489139099138,0.006994872683453318,,,,
60,0.32113543152809143,0.36556033677637456,0.001,81.71791124343872,0.2499540150165558,0.6878795623779297,0.005250322632491589,0.2936182164151188,0.7538808361442478,0.005793207110428381,,,,
61,0.3314237594604492,0.35845979101675995,0.001,80.64422821998596,0.2578655481338501,0.7097097635269165,0.005423054564744234,0.2907779357193453,0.6886242500984899,0.0058304750724075555,,,,
62,0.3298141658306122,0.39304301538154096,0.001,82.39692282676697,0.25269582867622375,0.7533118724822998,0.00530304154381156,0.3154711439567804,0.8339920809887214,0.006119328064000548,,,,
63,0.3271467387676239,0.36523157007947765,0.001,81.46562552452087,0.2550337016582489,0.6958832144737244,0.005358496215194464,0.2967248203325479,0.682754445727441,0.006018766420231556,,,,
64,0.318594366312027,0.3999399728725474,0.001,81.42853927612305,0.24836143851280212,0.6889771819114685,0.0051620337180793285,0.3155167112170623,0.9875585179359049,0.005729638253989048,,,,
65,0.3121272623538971,0.3635403496746709,0.001,81.6041271686554,0.24212566018104553,0.6778936982154846,0.00508602149784565,0.2995908093204849,0.6985142858135398,0.005742307241975535,,,,
66,0.31671056151390076,0.3762810847075075,0.001,81.32293319702148,0.24497820436954498,0.6957810521125793,0.00514644430950284,0.2787572255471843,1.037461584348307,0.005504142551697096,,,,
67,0.3125843405723572,0.34800653596641623,0.001,81.46441006660461,0.24054963886737823,0.6856933236122131,0.005129377823323011,0.28048577096123634,0.6184256527621236,0.005977324180361278,,,,
68,0.31182923913002014,0.3530652744634581,0.001,81.20831298828125,0.23559696972370148,0.7323262095451355,0.005033551249653101,0.28642570856658317,0.6998290155407895,0.005633793282847854,,,,
69,0.31213557720184326,0.35284944735557544,0.001,81.26821398735046,0.24282236397266388,0.6638492941856384,0.005131592508405447,0.30139228309329846,0.6087026163121346,0.00553568588251519,,,,
70,0.30075788497924805,0.33299907355781205,0.001,81.19514846801758,0.23388586938381195,0.6335833072662354,0.004978035110980272,0.2747656927667619,0.6164803014883444,0.005364439419331928,,,,
71,0.2971217632293701,0.33769558741594163,0.001,81.22784423828125,0.22657783329486847,0.6688502430915833,0.0048652333207428455,0.27715718768143127,0.6362852308668,0.005438234504043229,,,,
