epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_mu_mae,test_alpha_mae,test_gap_mae,test_loss
1,2.476410150527954,1.551695065842733,0.001,82.052743434906,2.098154067993164,4.701458930969238,0.03732028976082802,1.0484483480253406,2.722585537335112,0.034159167212212835,,,,
2,1.4938080310821533,1.4855454189906723,0.001,83.16707873344421,1.0182348489761353,2.954152822494507,0.030892759561538696,0.9957908164150194,3.557519838476532,0.028226248759601832,,,,
3,1.3800517320632935,1.5248729226713609,0.001,83.87695741653442,0.9984951019287109,2.55869722366333,0.027298230677843094,0.9808572365323489,4.580903675582429,0.025814963469362986,,,,
4,1.3116421699523926,1.2793947506817176,0.001,84.6649432182312,0.9850075840950012,2.4045636653900146,0.024775883182883263,0.9642668340097512,2.0238988143456043,0.02565197426212083,,,,
5,1.2126036882400513,1.2105573554873943,0.001,83.83220791816711,0.9672689437866211,2.1185762882232666,0.021374311298131943,0.9773275685662277,2.1863578750108306,0.020556709898278333,,,,
6,1.1390583515167236,1.0813603730853056,0.001,83.5836284160614,0.9409551024436951,2.035966157913208,0.018674703314900398,0.9494596066759505,1.5775250284847269,0.017472174591566202,,,,
7,1.0609197616577148,1.0028931543870252,0.001,83.93260765075684,0.9171578288078308,1.8369758129119873,0.016212983056902885,0.8940688413734962,1.7760540365513688,0.01414609322910213,,,,
8,0.9884571433067322,0.958926612364432,0.001,83.96211242675781,0.8944675326347351,1.5831222534179688,0.014299922622740269,0.8769062873717739,1.6338714177524807,0.013049154446941715,,,,
9,0.956634521484375,0.9113110068426167,0.001,84.68582057952881,0.8730311393737793,1.6180992126464844,0.013142000883817673,0.8484101789621561,1.6337730277471472,0.011449438511960059,,,,
10,0.9153268933296204,0.8774131806715811,0.001,84.0851035118103,0.8612265586853027,1.403260350227356,0.0123618608340621,0.86249701894506,1.1490189038901548,0.011492693621036113,,,,
11,0.8775843381881714,0.830442546844812,0.001,85.11705565452576,0.841683030128479,1.3762234449386597,0.01111853402107954,0.8363345822241874,1.052666287419944,0.010326344365376432,,,,
12,0.8817768692970276,0.9035925845871051,0.001,84.26169776916504,0.8359854817390442,1.4371222257614136,0.01125187985599041,0.8605287752152901,1.5844721937130133,0.010830053274089918,,,,
13,0.8391727805137634,0.8290963711140451,0.001,84.35194373130798,0.8208558559417725,1.3096246719360352,0.010082969442009926,0.8281471686848838,1.0774750738840215,0.010424506434555711,,,,
14,0.8171377778053284,0.8069563350643594,0.001,84.2529821395874,0.8080114126205444,1.2792527675628662,0.009482203982770443,0.8092531139996443,1.056876118381926,0.009988369877211694,,,,
