epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_mu_mae,test_alpha_mae,test_gap_mae,test_loss
1,2.7341039180755615,1.5832272934855964,0.001,93.47222900390625,2.424311637878418,5.245760440826416,0.037017084658145905,1.1141132104371516,2.7520073136696253,0.03337432502842908,,,,
2,1.485142707824707,1.3719499290192498,0.001,89.19002771377563,1.0582760572433472,2.906794548034668,0.029198573902249336,1.0150496424165454,2.4001379347085283,0.027044250013634724,,,,
3,1.382667899131775,1.2918182935131888,0.001,88.60922288894653,1.0142271518707275,2.6241707801818848,0.026544280350208282,0.9914182093581648,2.152040939737815,0.024712307305732813,,,,
4,1.2646340131759644,1.2898992687138622,0.001,88.72184658050537,0.9845002293586731,2.120872735977173,0.023615799844264984,0.9762453527978314,2.3139565793395827,0.024345089875692387,,,,
5,1.1608669757843018,1.1155973285644072,0.001,89.462477684021,0.9488364458084106,1.8163636922836304,0.020695554092526436,0.9370981674118539,1.8536580885810736,0.018430495556057185,,,,
6,1.037462830543518,0.9532527286314203,0.001,88.5749204158783,0.9058971405029297,1.618316650390625,0.01641963981091976,0.8791004598049501,1.2900700580334037,0.014378527750833935,,,,
7,0.9628861546516418,0.9334092137843816,0.001,88.40296053886414,0.872542142868042,1.4934663772583008,0.014129986986517906,0.881039303871029,1.163539572150367,0.013844676213535285,,,,
8,0.9017723202705383,0.8673553623098338,0.001,88.65724539756775,0.8452459573745728,1.3349212408065796,0.012534174136817455,0.844759766909685,1.0877714931549993,0.011886577799865879,,,,
9,0.8674943447113037,0.8715059905354196,0.001,88.79060363769531,0.8269632458686829,1.2636815309524536,0.011658220551908016,0.8172002147873798,1.44245961212115,0.011338338351189154,,,,
10,0.8304454684257507,0.8193380633646687,0.001,89.79897427558899,0.8069232106208801,1.1820677518844604,0.010744800791144371,0.8010536213644273,1.0565234817409643,0.010972364670885052,,,,
11,0.807761013507843,0.7977921357187566,0.001,88.66184997558594,0.7980607151985168,1.1266745328903198,0.010089036077260971,0.7982025476741833,1.0621791406851704,0.009855687016346391,,,,
